hostname,sy_dist,total_planets,st_teff,st_rad,st_mass,potentially_habitable
Kepler-1734,1482.83,1,6061.0,0.97,1.05,0
Kepler-1735,245.303,1,3975.0,0.509,0.535,0
Kepler-1736,1430.0,1,6085.0,0.973,0.976,0
Kepler-1737,,1,5043.0,0.881,0.834,0
Kepler-1738,1302.87,1,6063.0,1.001,1.079,0
Kepler-1739,783.666,1,5757.0,0.762,0.865,0
Kepler-1740,1061.77,1,5705.0,0.905,0.943,0
Kepler-1741,270.739,1,3683.0,0.424,0.454,0
Kepler-1742,669.573,1,5776.0,0.849,0.939,0
Kepler-1743,538.807,1,5855.0,1.613,1.266,0
Kepler-1744,1091.63,1,5986.0,0.85,0.886,0
Kepler-1745,996.105,1,5611.0,1.4,0.995,0
Kepler-1746,979.541,1,6018.0,1.286,1.09,0
Kepler-1747,1321.38,1,5477.0,0.865,0.983,0
Kepler-1748,1083.28,1,5774.0,0.864,0.916,0
Kepler-1749,268.2,1,3957.0,0.553,0.551,0
Kepler-1750,1497.33,1,5644.0,0.969,0.981,0
Kepler-1751,1291.47,1,6052.0,0.967,0.974,0
Kepler-1752,962.888,1,5446.0,0.821,0.824,0
Kepler-1753,707.688,1,5180.0,0.769,0.86,0
Kepler-1754,718.945,1,4723.0,0.747,0.734,0
Kepler-1755,982.383,1,6086.0,0.921,1.003,0
Kepler-1756,,1,4915.0,0.812,0.781,0
Kepler-1757,807.308,1,5288.0,0.74,0.828,0
Kepler-1758,1588.41,1,5557.0,1.616,1.035,0
Kepler-1759,385.348,1,5017.0,0.797,0.76,0
Kepler-176,527.321,1,5295.0,0.83,0.87,0
Kepler-1760,,1,5229.0,0.903,0.821,0
Kepler-1761,221.186,1,3871.0,0.532,0.573,0
Kepler-1762,1663.74,1,6572.0,1.238,1.298,0
Kepler-1763,756.486,1,5897.0,1.259,1.026,0
Kepler-1764,1542.48,1,6461.0,1.131,1.162,0
Kepler-1765,764.456,1,5692.0,1.064,0.946,0
Kepler-1766,501.229,1,5868.0,1.042,0.915,0
Kepler-1767,820.506,1,5243.0,0.831,0.887,0
Kepler-1768,632.766,1,6050.0,1.572,1.24,0
Kepler-1769,438.412,1,6071.0,1.295,1.061,0
Kepler-1770,582.942,1,5602.0,1.009,0.941,0
Kepler-1771,565.752,1,5661.0,0.934,0.941,0
Kepler-1772,871.564,1,5541.0,0.934,0.942,0
Kepler-1773,681.255,1,6183.0,1.3,1.241,0
Kepler-1774,816.592,1,6214.0,1.122,1.101,0
Kepler-1775,657.023,1,5818.0,1.647,1.149,0
Kepler-1776,690.336,1,5872.0,1.153,1.041,0
Kepler-1777,619.146,1,5771.0,1.068,0.984,0
Kepler-1778,1276.29,1,6310.0,1.095,1.143,0
Kepler-1779,908.501,1,5730.0,1.056,1.008,0
Kepler-1780,790.516,1,5403.0,0.868,0.868,0
Kepler-1781,962.63,1,5568.0,0.957,1.053,0
Kepler-1782,305.792,1,4931.0,0.734,0.794,0
Kepler-1783,264.078,1,5129.0,1.781,0.887,0
Kepler-1784,883.045,1,5442.0,0.974,0.887,0
Kepler-1785,745.74,1,5618.0,0.996,0.911,0
Kepler-1786,863.909,1,5808.0,1.397,1.058,0
Kepler-1787,778.602,1,6060.0,0.925,1.008,0
Kepler-1788,560.445,1,4786.0,0.704,0.686,0
Kepler-1789,611.461,1,5436.0,0.888,0.92,0
Kepler-1790,1070.17,1,5866.0,1.367,1.02,0
Kepler-1791,602.218,1,5887.0,1.177,0.985,0
Kepler-1792,601.029,1,5229.0,1.005,0.878,0
Kepler-1793,1189.88,1,5191.0,0.764,0.85,0
Kepler-1794,561.229,1,5052.0,0.816,0.773,0
Kepler-1795,,1,4500.0,0.688,0.768,0
Kepler-1796,825.883,1,6036.0,0.949,1.018,0
Kepler-1797,1338.49,1,6244.0,1.009,1.069,0
Kepler-1798,395.196,1,3967.0,0.587,0.593,0
Kepler-1799,2254.69,1,5831.0,0.921,1.016,0
Kepler-1800,350.455,1,5343.0,2.506,1.33,0
Kepler-1801,839.332,2,5738.0,0.981,0.936,0
Kepler-1802,636.694,2,4245.0,0.637,0.649,0
Kepler-1804,434.456,1,5109.0,1.671,0.929,0
Kepler-1805,221.639,1,3867.0,0.552,0.581,0
Kepler-1806,978.066,1,5311.0,0.788,0.884,0
Kepler-1807,1299.32,1,6455.0,1.496,1.087,0
Kepler-1808,1022.01,1,5530.0,0.892,0.773,0
Kepler-1809,409.602,1,4901.0,0.716,0.807,0
Kepler-1810,1009.87,1,5492.0,1.016,0.921,0
Kepler-1811,1390.56,1,5561.0,1.19,0.946,0
Kepler-1812,1409.19,1,6174.0,1.103,1.162,0
Kepler-1813,,1,5167.0,0.787,0.812,0
Kepler-1814,726.346,2,4922.0,0.823,0.79,0
Kepler-1815,1006.63,1,5516.0,0.967,0.856,0
Kepler-1816,437.823,1,5051.0,0.706,0.786,1
Kepler-1817,748.569,1,5316.0,0.915,0.878,0
Kepler-1818,1034.59,1,6047.0,1.129,1.021,0
Kepler-1819,1363.19,1,6090.0,1.071,1.173,0
Kepler-1820,1425.39,1,5841.0,0.931,1.047,0
Kepler-1821,799.699,1,5475.0,0.884,0.946,0
Kepler-1822,897.597,1,5165.0,0.702,0.782,0
Kepler-1823,724.971,1,6000.0,1.126,1.068,0
Kepler-1824,1040.1,1,6002.0,1.081,1.135,0
Kepler-1825,430.254,1,5123.0,0.847,0.828,0
Kepler-1826,336.952,1,3821.0,0.486,0.49,0
Kepler-1827,686.461,1,5423.0,1.404,0.915,0
Kepler-1828,871.81,1,5806.0,0.899,0.996,0
Kepler-1829,679.921,1,5230.0,0.777,0.873,0
Kepler-1830,1056.88,1,6160.0,2.046,1.443,0
Kepler-1831,1053.49,1,6063.0,1.012,1.117,0
Kepler-1832,486.174,1,5242.0,0.722,0.684,0
Kepler-1833,591.602,1,6164.0,1.446,1.286,0
Kepler-1834,500.395,2,4821.0,0.788,0.765,0
Kepler-1835,1404.38,1,5903.0,0.961,0.922,0
Kepler-1836,1472.62,1,6123.0,0.987,1.053,0
Kepler-1837,1229.18,1,5966.0,0.961,1.049,0
Kepler-1838,451.242,1,5877.0,1.963,1.187,0
Kepler-1839,1136.6,1,5926.0,0.939,1.03,0
Kepler-1840,513.107,1,4898.0,0.803,0.774,1
Kepler-1841,631.7,1,5190.0,0.899,0.823,0
Kepler-1842,923.551,1,5970.0,1.131,1.057,0
Kepler-1843,784.625,1,5422.0,1.782,1.02,0
Kepler-1844,1804.36,1,5776.0,0.849,0.939,0
Kepler-1845,710.724,1,4703.0,0.701,0.686,0
Kepler-1846,374.615,1,4825.0,0.732,0.785,0
Kepler-1847,1693.86,1,6122.0,0.964,1.041,0
Kepler-1848,309.696,1,4847.0,0.737,0.756,0
Kepler-1849,631.884,1,4806.0,0.729,0.709,0
Kepler-1850,250.199,1,4239.0,0.6,0.611,0
Kepler-1851,1589.81,1,5982.0,0.879,0.967,0
Kepler-1852,772.481,1,5237.0,0.826,0.927,0
Kepler-1853,562.348,1,4821.0,0.788,0.765,0
Kepler-1854,423.348,1,5026.0,0.759,0.8,0
Kepler-1855,,1,3460.0,0.356,0.385,0
Kepler-1856,848.76,1,4948.0,0.816,0.782,0
Kepler-1857,853.275,1,6074.0,1.005,0.873,0
Kepler-1858,833.055,1,4939.0,0.819,0.785,0
Kepler-1859,1331.25,2,5887.0,1.235,1.09,0
Kepler-1860,438.703,1,5420.0,0.868,0.874,0
Kepler-1861,829.985,1,5855.0,1.373,1.161,0
Kepler-1862,1232.19,1,5644.0,0.806,0.9,0
Kepler-1863,865.546,1,5871.0,0.983,1.097,0
Kepler-1864,298.894,1,5854.0,0.979,1.03,0
Kepler-1865,922.255,1,5420.0,0.871,0.849,0
Kepler-1866,976.737,1,5791.0,1.083,1.03,0
Kepler-1867,680.583,1,5693.0,0.816,0.911,0
Kepler-1868,274.18,1,4658.0,0.686,0.743,0
Kepler-1869,113.025,2,5808.0,0.902,0.987,0
Kepler-1870,407.216,1,5508.0,0.84,0.955,0
Kepler-1871,854.623,1,5741.0,0.946,1.02,0
Kepler-1872,840.182,1,5223.0,0.885,0.913,0
Kepler-1873,820.957,1,5151.0,0.792,0.903,0
Kepler-1874,408.007,1,4701.0,0.775,0.758,0
Kepler-1875,1660.45,1,6161.0,0.862,0.95,0
Kepler-1876,259.935,1,6104.0,1.477,1.187,0
Kepler-1877,285.312,1,5615.0,0.936,1.022,0
Kepler-1878,1494.3,1,5918.0,0.865,0.956,0
Kepler-1879,627.171,1,5865.0,1.388,1.023,0
Kepler-1880,611.041,1,4380.0,0.53,0.524,0
Kepler-1881,1057.21,1,5135.0,0.874,0.812,1
Kepler-1882,443.371,1,5691.0,1.458,1.068,0
Kepler-1883,1377.61,1,6208.0,1.024,1.086,0
Kepler-1884,1443.09,1,5984.0,0.906,0.993,0
Kepler-1885,818.482,1,5591.0,0.86,0.977,0
Kepler-1886,1059.51,1,5745.0,0.837,0.928,0
Kepler-1887,1366.18,1,5749.0,0.864,0.961,0
Kepler-1888,402.947,1,5557.0,1.249,0.897,0
Kepler-1889,1395.13,1,5646.0,0.817,0.864,0
Kepler-1890,529.596,1,6046.0,1.396,1.024,0
Kepler-1891,596.24,1,5516.0,0.827,0.873,0
Kepler-1892,851.595,1,5383.0,0.759,0.851,0
Kepler-1893,1050.72,1,5633.0,1.162,0.973,0
Kepler-1894,935.191,2,5772.0,0.901,0.999,0
Kepler-1895,984.187,1,5076.0,0.763,0.86,0
Kepler-1896,1732.91,1,6122.0,0.996,1.07,0
Kepler-1897,983.174,1,5165.0,0.761,0.859,0
Kepler-1898,360.921,1,5702.0,1.125,0.837,0
Kepler-1899,711.509,1,4791.0,0.742,0.759,0
Kepler-1900,1540.43,1,6173.0,1.041,1.104,0
Kepler-1901,1028.37,1,5696.0,0.921,1.022,0
Kepler-1902,344.337,1,3729.0,0.514,0.52,0
Kepler-1903,1775.44,1,6347.0,0.996,1.053,0
Kepler-1904,270.854,1,3805.0,0.497,0.526,0
Kepler-1905,1051.53,1,5788.0,1.015,1.038,0
Kepler-1906,1360.63,1,5868.0,0.894,0.987,0
Kepler-1907,292.111,2,5159.0,0.8,0.752,0
Kepler-1909,763.662,1,4935.0,0.685,0.663,0
Kepler-191,594.464,1,5215.0,0.8,0.84,0
Kepler-1910,,1,4234.0,0.639,0.636,0
Kepler-1911,269.912,1,5721.0,0.972,0.954,0
Kepler-1912,297.017,1,5734.0,0.962,0.977,0
Kepler-1913,876.3,1,6214.0,1.076,1.169,0
Kepler-1914,1621.56,1,5982.0,0.96,1.047,0
Kepler-1915,1514.66,1,6020.0,1.057,1.03,0
Kepler-1916,2055.82,1,6246.0,1.092,1.18,0
Kepler-1917,909.037,1,5530.0,0.788,0.882,0
Kepler-1918,1030.11,1,5889.0,0.924,0.967,0
Kepler-1919,1177.53,1,5513.0,0.818,0.868,0
Kepler-192,651.674,1,5487.0,0.94,0.94,0
Kepler-1920,885.913,1,6277.0,1.161,1.239,0
Kepler-1921,928.989,2,6120.0,2.0,1.251,0
Kepler-1922,1344.29,1,5931.0,0.863,0.953,0
Kepler-1923,990.838,1,5881.0,1.294,1.109,0
Kepler-1924,1910.77,1,5726.0,1.285,1.018,0
Kepler-1925,1771.31,1,5856.0,1.092,1.057,0
Kepler-1926,667.405,1,5256.0,0.832,0.768,0
Kepler-1927,1091.0,1,6056.0,2.481,1.408,0
Kepler-1928,326.362,1,5720.0,0.92,1.01,0
Kepler-1929,508.201,1,5786.0,1.471,1.006,0
Kepler-1930,275.694,1,5083.0,0.844,0.844,0
