hostname,sy_dist,total_planets,st_teff,st_rad,st_mass,potentially_habitable
Kepler-485,1140.95,1,5958.0,1.09,1.07,0
Kepler-487,872.343,3,5422.0,0.88,0.874,0
Kepler-489,369.645,1,5014.0,0.76,0.82,0
Kepler-490,1523.0,1,6045.0,1.12,1.08,0
Kepler-491,630.785,1,5582.0,1.03,1.04,0
Kepler-493,1745.77,1,6457.0,1.54,1.36,0
Kepler-495,658.924,2,5346.0,0.83,0.86,0
Kepler-496,605.274,1,5293.0,0.82,0.86,0
Kepler-497,1291.98,1,5834.0,1.11,1.09,0
Kepler-498,938.844,1,5744.0,0.96,0.98,0
Kepler-499,556.726,1,5312.0,0.83,0.87,0
Kepler-500,807.48,1,5813.0,1.03,1.02,0
Kepler-501,1125.24,2,5794.0,1.04,1.03,0
Kepler-502,1591.04,1,6125.0,1.22,1.15,0
Kepler-504,99.0688,1,3519.0,0.33,0.33,0
Kepler-505,283.41,1,3931.0,0.53,0.55,0
Kepler-506,228.439,1,6236.0,1.19,1.19,0
Kepler-507,391.644,1,6113.0,1.32,1.16,0
Kepler-508,324.618,1,6025.0,1.25,1.16,0
Kepler-509,332.443,1,6060.0,1.2,1.1,0
Kepler-510,386.177,1,5746.0,1.41,0.91,0
Kepler-511,651.999,2,5770.0,1.2,0.958,0
Kepler-512,467.375,1,5997.0,1.3,1.17,0
Kepler-513,468.258,1,5849.0,1.06,1.02,0
Kepler-514,455.336,1,6106.0,1.44,1.28,0
Kepler-515,255.0,1,5293.0,0.83,0.9,0
Kepler-516,687.094,1,7099.0,2.02,1.62,0
Kepler-517,289.907,1,5690.0,0.98,0.95,0
Kepler-518,337.901,1,5842.0,0.88,0.96,0
Kepler-519,246.61,1,5260.0,0.8,0.89,0
Kepler-520,623.901,2,6112.0,1.09,1.1,0
Kepler-521,830.638,1,6406.0,1.46,1.34,0
Kepler-522,639.239,1,6392.0,1.98,1.54,0
Kepler-523,253.295,1,5515.0,0.86,0.93,0
Kepler-524,1058.24,2,6014.0,1.1,1.09,0
Kepler-525,992.852,1,5573.0,1.15,0.95,0
Kepler-526,666.146,1,5894.0,1.14,1.15,0
Kepler-527,750.04,1,6388.0,1.45,1.28,0
Kepler-528,784.23,1,5807.0,1.06,1.01,0
Kepler-529,799.008,3,6078.0,1.14,1.005,0
Kepler-530,457.709,1,5697.0,0.89,0.97,0
Kepler-531,252.762,1,4893.0,0.75,0.78,0
Kepler-532,312.798,1,5192.0,0.79,0.87,0
Kepler-533,302.955,1,4758.0,0.72,0.78,0
Kepler-534,570.659,2,5884.0,0.965,1.05,0
Kepler-535,685.599,1,6123.0,1.27,1.18,0
Kepler-536,462.322,1,5524.0,0.89,0.92,0
Kepler-537,439.4,1,5763.0,0.99,1.07,0
Kepler-538,155.956,1,5534.0,0.8717,0.892,0
Kepler-539,307.318,1,5820.0,0.952,1.048,0
Kepler-540,390.374,1,5946.0,1.08,1.02,0
Kepler-541,1060.68,1,6166.0,2.06,1.41,0
Kepler-542,436.016,1,5526.0,0.9,0.93,0
Kepler-543,221.802,1,4671.0,0.67,0.7,0
Kepler-544,963.18,1,6206.0,1.22,1.16,0
Kepler-545,818.001,1,5882.0,1.07,1.04,0
Kepler-546,1019.65,1,5967.0,1.15,1.11,0
Kepler-547,378.972,1,4828.0,0.73,0.78,0
Kepler-548,751.776,1,5535.0,0.9,0.93,0
Kepler-549,635.145,3,5312.0,0.84,0.859,0
Kepler-550,531.944,1,5322.0,0.83,0.87,0
Kepler-551,311.175,1,4286.0,0.63,0.65,0
Kepler-552,843.689,1,5863.0,1.04,1.03,0
Kepler-553,728.525,2,5191.0,0.902,0.889,0
Kepler-554,690.525,1,5447.0,0.92,0.93,0
Kepler-555,973.121,1,5894.0,1.04,1.03,0
Kepler-556,674.598,1,5740.0,0.98,1.0,0
Kepler-557,2097.12,1,6068.0,1.16,1.11,0
Kepler-558,661.876,1,5242.0,0.81,0.85,0
Kepler-559,776.708,1,5630.0,0.95,0.96,0
Kepler-560,109.308,1,3556.0,0.33,0.34,1
Kepler-561,621.378,2,5646.0,0.94,0.96,0
Kepler-562,992.769,1,5575.0,0.9,0.93,0
Kepler-563,565.207,1,5066.0,0.77,0.8,0
Kepler-564,863.037,1,5626.0,0.92,0.95,0
Kepler-565,1041.0,1,5735.0,0.95,0.98,0
Kepler-566,564.277,1,5132.0,0.79,0.83,0
Kepler-567,558.81,1,5148.0,0.79,0.84,0
Kepler-568,130.645,1,3768.0,0.53,0.55,0
Kepler-569,638.301,1,5616.0,0.93,0.95,0
Kepler-570,568.148,1,5496.0,0.9,0.93,0
Kepler-571,723.875,1,5527.0,0.9,0.93,0
Kepler-572,504.667,1,5212.0,0.79,0.83,0
Kepler-573,771.471,1,5746.0,1.02,0.99,0
Kepler-574,682.896,1,5612.0,0.91,0.95,0
Kepler-575,853.977,1,5710.0,0.95,0.97,0
Kepler-576,617.55,1,5672.0,0.97,0.99,0
Kepler-577,524.247,1,4984.0,0.73,0.78,0
Kepler-578,541.432,1,5334.0,0.83,0.87,0
Kepler-579,530.765,1,5636.0,0.96,0.99,0
Kepler-58,969.252,1,6100.0,1.083,1.017,0
Kepler-580,323.899,1,4298.0,0.64,0.67,0
Kepler-581,703.758,1,5772.0,1.0,1.0,0
Kepler-582,613.179,1,5564.0,0.91,0.93,0
Kepler-583,867.271,1,5523.0,0.91,0.94,0
Kepler-584,1848.84,1,6195.0,1.24,1.17,0
Kepler-585,585.187,1,5593.0,0.93,0.96,0
Kepler-586,693.766,1,5575.0,0.92,0.94,0
Kepler-587,787.894,1,5549.0,0.89,0.92,0
Kepler-588,1209.4,1,5835.0,1.0,1.01,0
Kepler-589,612.803,2,5296.0,0.83,0.832,0
Kepler-590,1421.81,1,6000.0,1.15,1.1,0
Kepler-591,785.137,1,5677.0,0.94,0.97,0
Kepler-592,1153.13,1,5913.0,1.04,1.04,0
Kepler-593,973.76,1,5967.0,1.1,1.08,0
Kepler-594,769.2,1,5485.0,0.87,0.91,0
Kepler-595,643.009,2,5138.5,0.821,0.93,0
Kepler-596,1023.85,1,6267.0,1.32,1.21,0
Kepler-597,663.418,1,5683.0,0.95,0.97,0
Kepler-598,681.086,2,5245.0,0.86,0.87,0
Kepler-599,558.517,1,5127.0,0.79,0.83,0
Kepler-600,619.723,1,5279.0,0.81,0.84,0
Kepler-601,414.825,1,5160.0,0.79,0.85,0
Kepler-602,1159.31,1,6062.0,1.13,1.08,0
Kepler-603,1539.63,3,5808.0,1.01,1.01,0
Kepler-604,1026.49,1,5890.0,1.03,1.02,0
Kepler-605,556.58,2,5462.0,0.88,0.91,0
Kepler-606,1215.11,1,6161.0,1.22,1.13,0
Kepler-607,519.122,2,5196.0,0.8,0.808,0
Kepler-608,946.683,1,5820.0,1.01,1.0,0
Kepler-609,1065.82,1,5971.0,1.14,1.09,0
Kepler-610,845.824,2,5943.0,1.13,1.1,0
Kepler-611,1395.56,1,5761.0,1.01,1.01,0
Kepler-612,1445.53,1,5693.0,0.96,0.98,0
Kepler-613,861.494,1,5723.0,0.96,0.98,0
Kepler-614,527.995,1,5268.0,0.81,0.85,0
Kepler-615,330.0,1,4655.0,0.69,0.73,0
Kepler-616,945.775,3,5753.0,0.97,0.98,0
Kepler-617,173.354,1,3712.0,0.48,0.51,0
Kepler-618,1221.96,1,5860.0,1.08,1.05,0
Kepler-619,900.678,3,5980.0,0.964,1.041,0
Kepler-620,1355.28,1,6155.0,1.22,1.15,0
Kepler-621,389.0,1,4521.0,0.68,0.72,0
Kepler-622,284.761,1,4201.0,0.61,0.64,0
Kepler-623,737.702,1,5443.0,0.86,0.9,0
Kepler-624,748.188,1,6117.0,1.18,1.1,0
Kepler-625,760.708,2,5789.0,0.96,1.04,0
Kepler-626,635.643,1,5813.0,1.05,1.01,0
Kepler-627,984.307,1,6424.0,1.49,1.3,0
Kepler-629,372.05,1,5444.0,0.84,0.93,0
Kepler-630,839.784,1,5829.0,1.04,1.02,0
Kepler-631,761.966,1,6185.0,1.33,1.24,0
Kepler-632,349.0,1,5322.0,0.84,0.91,0
Kepler-633,680.54,2,5877.0,1.15,0.997,0
Kepler-634,888.027,1,6075.0,1.24,1.03,0
Kepler-635,1141.08,1,6174.0,1.51,1.33,0
Kepler-636,310.301,1,5203.0,0.8,0.85,0
Kepler-637,786.091,1,6096.0,2.56,1.64,0
Kepler-638,991.214,1,5382.0,0.93,0.88,0
Kepler-639,850.242,1,5896.0,1.29,1.14,0
Kepler-640,557.787,1,5653.0,0.94,1.01,0
Kepler-641,969.918,1,5713.0,1.13,1.02,0
Kepler-642,781.582,1,6570.0,1.66,1.4,0
Kepler-643,1063.58,1,4908.0,2.52,1.0,0
Kepler-644,1318.05,1,6747.0,1.81,1.49,0
Kepler-645,1173.57,1,6170.0,1.21,1.13,0
Kepler-646,451.794,1,5634.0,0.91,0.93,0
Kepler-647,1087.87,2,5906.74,1.07,1.03,0
Kepler-648,636.03,1,5741.0,0.98,1.05,0
Kepler-649,513.748,1,5871.0,0.94,0.97,0
Kepler-650,884.378,1,5849.0,1.35,1.08,0
Kepler-651,509.408,1,5522.0,0.87,0.92,0
Kepler-652,394.55,1,5490.0,0.88,0.97,0
Kepler-653,595.634,2,5665.0,1.19,1.02,0
Kepler-654,974.124,1,5865.0,1.11,1.04,0
Kepler-655,752.562,1,6170.0,1.24,1.15,0
Kepler-656,890.352,2,5281.0,0.82,0.86,0
Kepler-657,1691.88,1,5808.0,1.01,1.01,0
Kepler-658,388.384,1,4103.0,0.6,0.63,0
Kepler-659,722.64,1,4870.0,0.74,0.79,0
Kepler-660,568.431,1,4779.0,0.71,0.75,0
Kepler-661,534.788,1,4483.0,0.67,0.7,0
Kepler-662,815.637,1,4897.0,0.74,0.79,0
Kepler-663,1063.09,1,5264.0,0.82,0.86,0
Kepler-664,1210.12,1,5754.0,1.02,1.01,0
Kepler-665,612.838,1,4913.0,0.74,0.79,0
Kepler-666,1508.71,1,5887.0,1.05,1.03,0
Kepler-667,2302.45,1,5327.0,0.87,0.91,0
Kepler-668,784.618,1,5352.0,0.82,0.87,0
Kepler-669,2063.41,1,6038.0,1.2,1.15,0
Kepler-670,939.744,1,5709.0,0.99,0.99,0
Kepler-671,1168.26,1,5624.0,0.95,0.97,0
Kepler-672,1033.93,1,5627.0,0.92,0.95,0
Kepler-673,918.21,1,5355.0,0.84,0.88,0
Kepler-674,342.254,1,4192.0,0.57,0.6,0
Kepler-675,665.68,1,4945.0,0.75,0.79,0
Kepler-676,295.196,1,3701.0,0.49,0.51,0
Kepler-677,1954.08,1,5723.0,0.99,1.0,0
Kepler-678,1826.15,1,5520.0,0.91,0.94,0
Kepler-679,922.244,1,5403.0,0.84,0.87,0
Kepler-680,1492.48,1,5890.0,1.11,1.08,0
Kepler-681,686.923,1,5021.0,0.76,0.8,0
Kepler-682,1979.25,1,5559.0,0.89,0.92,0
Kepler-683,1023.07,1,5703.0,0.95,0.96,0
Kepler-684,1731.27,1,5493.0,0.86,0.89,0
Kepler-685,938.715,1,5963.0,1.16,1.11,0
Kepler-686,1490.94,1,5649.0,0.92,0.94,0
Kepler-687,633.66,1,4841.0,0.73,0.77,0
Kepler-688,1357.75,1,5715.0,0.96,0.98,0
Kepler-689,1131.73,1,5518.0,0.88,0.91,0
Kepler-690,1665.31,1,5913.0,1.16,1.11,0
Kepler-691,279.115,1,3715.0,0.5,0.53,0
Kepler-692,991.336,1,5440.0,0.86,0.9,0
Kepler-693,1151.51,1,4881.0,0.72,0.76,0
Kepler-694,1023.06,1,5700.0,0.95,0.97,0
Kepler-695,842.947,1,5181.0,0.8,0.84,0
Kepler-696,1416.44,1,5903.0,1.08,1.06,0
Kepler-697,1277.33,1,5513.0,0.88,0.92,0
Kepler-698,1995.57,1,5612.0,0.91,0.94,0
Kepler-700,1491.76,1,5692.0,0.96,0.98,0
Kepler-701,774.152,1,5343.0,0.84,0.88,0
Kepler-702,992.071,1,5419.0,0.86,0.9,0
Kepler-703,1156.83,1,6185.0,1.27,1.18,0
Kepler-704,1228.83,1,5616.0,0.96,0.97,0
Kepler-705,276.881,1,3722.0,0.51,0.53,1
Kepler-707,591.776,1,5099.0,0.76,0.8,0
Kepler-708,1394.22,1,5692.0,0.96,0.97,0
Kepler-709,664.843,1,5071.0,0.77,0.8,0
Kepler-710,1448.34,1,5611.0,0.91,0.94,0
Kepler-711,624.575,1,5222.0,0.8,0.84,0
Kepler-712,872.493,2,5148.0,0.78,0.84,0
Kepler-713,1089.87,1,5785.0,0.99,0.98,0
Kepler-714,2083.37,1,5995.0,1.12,1.09,0
Kepler-715,1327.44,1,5871.0,1.04,1.04,0
Kepler-716,635.009,2,5012.0,0.742183,0.83,0
Kepler-717,2805.48,1,5485.0,0.85,0.88,0
Kepler-718,1302.33,1,6191.0,1.3,1.18,0
Kepler-719,2497.51,1,5777.0,0.98,0.99,0
Kepler-720,1065.37,1,5618.0,0.92,0.95,0
Kepler-721,926.598,1,5075.0,0.78,0.82,0
Kepler-722,1239.5,2,5863.0,1.05,1.03,0
Kepler-723,1071.8,1,5539.0,0.89,0.92,0
Kepler-724,853.119,1,5437.0,0.86,0.9,0
Kepler-725,758.469,2,5395.0,0.88,0.95,1
Kepler-726,762.081,1,5452.0,0.85,0.88,0
Kepler-727,831.842,1,5441.0,0.86,0.89,0
Kepler-728,1765.23,1,5660.0,0.93,0.95,0
Kepler-729,1921.15,1,5633.0,0.91,0.94,0
Kepler-730,1935.04,2,5620.0,1.411,1.047,0
Kepler-731,1257.16,1,5849.0,1.06,1.03,0
Kepler-732,174.826,2,3631.0,0.46,0.49,0
Kepler-733,916.706,1,5418.0,0.86,0.9,0
Kepler-734,1157.21,1,5326.0,0.78,0.85,0
Kepler-735,695.059,1,5107.0,0.8,0.85,0
Kepler-736,1005.43,1,5217.0,0.81,0.86,0
Kepler-737,205.118,1,3813.0,0.48,0.51,1
Kepler-738,1113.65,1,5327.0,0.82,0.86,0
Kepler-739,1370.65,1,5601.0,0.9,0.93,0
Kepler-740,1442.02,1,5438.0,0.87,0.91,0
Kepler-741,1661.87,1,6129.0,1.24,1.16,0
Kepler-742,489.253,1,4642.0,0.71,0.76,0
Kepler-743,278.987,1,5486.0,0.85,0.94,0
Kepler-744,449.964,1,5594.0,0.93,0.94,0
Kepler-745,1780.38,1,5849.0,1.04,1.04,0
Kepler-746,450.0,1,5418.0,0.93,0.91,0
Kepler-747,3347.16,1,5096.0,0.78,0.82,0
Kepler-748,1705.99,1,5934.0,1.1,1.07,0
Kepler-749,721.027,1,5009.0,0.75,0.79,0
Kepler-750,1296.02,2,6160.0,1.23,1.15,0
Kepler-751,760.43,1,5387.0,0.84,0.87,0
Kepler-752,1232.29,1,5373.0,0.83,0.87,0
Kepler-753,274.767,1,4346.0,0.65,0.68,0
Kepler-754,1770.27,1,5935.0,1.08,1.06,0
Kepler-755,399.034,2,5043.0,0.77,0.82,0
Kepler-756,852.0,1,5282.0,0.79,0.82,0
Kepler-757,1068.68,1,6014.0,1.13,1.08,0
Kepler-758,1502.32,4,6228.0,1.42,1.16,0
Kepler-759,1073.48,1,5860.0,1.04,1.04,0
Kepler-760,792.336,2,5322.0,0.85,0.89,0
Kepler-761,830.707,1,5706.0,0.93,0.95,0
Kepler-762,1898.26,1,5944.0,1.08,1.06,0
Kepler-763,962.459,3,4999.0,0.8,0.8,0
Kepler-764,1047.84,1,5557.0,0.89,0.92,0
Kepler-765,1076.28,1,5901.0,1.06,1.05,0
Kepler-766,2297.62,1,5992.0,1.15,1.1,0
Kepler-767,2251.03,1,5694.0,0.94,0.96,0
Kepler-768,784.56,1,5108.0,0.78,0.82,0
Kepler-769,1169.57,2,6186.0,1.28,1.19,0
Kepler-770,930.457,3,5598.0,0.92,0.94,0
Kepler-771,1393.85,1,5906.0,1.05,1.03,0
Kepler-772,1130.21,1,5714.0,1.11,0.98,0
Kepler-773,547.026,1,5850.0,1.01,1.04,0
Kepler-774,917.804,1,6403.0,2.42,1.57,0
Kepler-775,398.676,1,5468.0,0.84,0.92,0
Kepler-776,727.904,1,5071.0,0.78,0.83,0
Kepler-777,443.106,1,4043.0,0.56,0.58,0
Kepler-778,938.168,1,5102.0,0.77,0.81,0
Kepler-779,283.155,1,3804.0,0.44,0.46,0
Kepler-780,557.652,1,5769.0,1.02,1.01,0
Kepler-781,1064.47,1,5162.0,0.78,0.81,0
Kepler-782,446.844,1,5867.0,1.01,0.98,0
Kepler-783,516.09,2,5411.49,0.872088,0.93,0
Kepler-784,1303.72,2,5674.0,1.32,1.0,0
Kepler-785,642.051,1,4739.0,0.71,0.77,0
Kepler-786,485.318,1,4838.0,0.74,0.81,0
Kepler-787,503.568,1,4248.0,0.62,0.65,0
Kepler-788,1775.8,1,6159.0,1.23,1.16,0
Kepler-789,1480.16,1,5870.0,1.02,1.01,0
Kepler-790,703.168,1,5208.0,0.8,0.84,0
Kepler-791,1266.34,1,6383.0,1.47,1.3,0
Kepler-792,1425.47,1,5971.0,1.12,1.09,0
Kepler-793,985.699,1,5745.0,0.97,0.98,0
Kepler-794,931.192,1,5839.0,1.38,1.19,0
Kepler-795,492.122,1,5631.0,0.96,0.94,0
Kepler-796,817.584,1,5475.0,1.09,0.93,0
Kepler-797,1315.26,1,5680.0,0.95,0.96,0
Kepler-798,972.274,1,6224.0,1.29,1.19,0
Kepler-799,1509.084,2,5588.0,0.93,0.95,0
Kepler-80,369.451,1,4540.0,0.678,0.73,0
Kepler-800,1019.26,1,5315.0,0.82,0.85,0
Kepler-801,440.426,1,4435.0,0.63,0.67,0
Kepler-802,780.585,1,5507.0,0.9,0.93,0
Kepler-803,639.771,1,5919.0,1.12,1.05,0
Kepler-804,649.65,2,5817.0,1.05,1.01,0
Kepler-805,638.49,1,6112.0,1.65,1.19,0
Kepler-806,361.896,1,5770.0,1.16,0.99,0
Kepler-808,321.0,1,4653.0,0.71,0.76,0
Kepler-809,961.405,1,5734.0,0.98,0.99,0
Kepler-810,1458.59,1,5803.0,1.04,1.03,0
Kepler-811,985.041,1,5747.0,1.24,1.01,0
Kepler-812,1482.74,1,6761.0,1.71,1.45,0
Kepler-813,840.0,1,5743.0,0.93,0.95,0
Kepler-814,2055.77,1,6162.0,1.22,1.15,0
Kepler-815,1259.28,1,5028.0,3.42,1.25,0
Kepler-816,983.697,1,5286.0,0.85,0.9,0
Kepler-817,1484.46,1,5861.0,1.03,1.03,0
Kepler-818,925.037,1,5638.0,0.92,0.94,0
Kepler-819,664.306,1,5279.0,0.81,0.86,0
Kepler-820,1387.2,1,6260.0,1.36,1.23,0
Kepler-821,614.571,1,5191.0,0.8,0.84,0
Kepler-822,860.391,1,5928.0,1.08,1.06,0
Kepler-823,1389.27,1,5643.0,0.96,0.98,0
Kepler-824,1201.4,1,6035.0,1.22,1.15,0
Kepler-825,807.85,2,5976.0,1.08,1.03,0
Kepler-826,779.596,1,6079.0,1.15,1.05,0
Kepler-827,2046.68,1,5602.0,0.91,0.93,0
Kepler-828,575.322,1,5039.0,0.77,0.81,0
Kepler-829,1073.76,1,5698.0,0.97,0.98,0
Kepler-830,1122.0,1,6037.0,1.11,1.07,0
Kepler-831,593.54,1,5732.0,0.97,0.99,0
Kepler-832,1688.12,1,5596.0,0.9,0.92,0
Kepler-833,467.37,1,4339.0,0.62,0.64,0
Kepler-834,633.937,1,4554.0,0.66,0.7,0
Kepler-835,2406.33,1,5954.0,1.11,1.08,0
Kepler-836,980.035,1,5895.0,1.04,1.03,0
Kepler-837,901.907,1,5403.0,0.81,0.85,0
Kepler-838,1104.04,1,5770.0,0.96,0.98,0
Kepler-839,944.561,1,6058.0,1.31,1.22,0
Kepler-841,998.961,1,5324.0,0.81,0.85,0
Kepler-842,532.726,1,4848.0,0.73,0.78,0
Kepler-843,1165.66,1,5830.0,1.03,1.02,0
Kepler-844,431.776,1,4128.0,0.57,0.59,0
Kepler-845,431.051,1,4913.0,0.75,0.79,0
Kepler-846,1127.12,1,5579.0,0.91,0.94,0
Kepler-847,513.103,1,4940.0,0.77,0.83,0
Kepler-848,1378.47,1,5695.0,1.2,1.01,0
Kepler-849,822.134,1,5950.0,1.822,1.259,0
Kepler-850,1661.28,1,5932.0,1.09,1.06,0
Kepler-851,839.255,1,5455.0,0.85,0.89,0
Kepler-852,1619.03,1,6100.0,1.16,1.19,0
Kepler-853,568.676,1,6350.0,1.55,1.3,0
Kepler-855,1506.58,1,5835.0,1.03,1.03,0
Kepler-856,1351.17,1,5535.0,0.93,0.96,0
Kepler-857,983.502,1,5773.0,0.99,0.99,0
Kepler-858,298.532,1,5653.0,0.91,0.96,0
Kepler-859,839.903,1,5020.0,0.77,0.81,0
Kepler-860,1056.36,1,5836.0,1.06,1.04,0
Kepler-861,850.327,1,5047.0,0.78,0.82,0
Kepler-862,1039.03,1,5333.0,0.84,0.88,0
Kepler-863,1499.66,1,5678.0,0.95,0.96,0
Kepler-864,2022.9,2,5754.0,1.0,1.0,0
Kepler-865,586.137,2,5440.0,0.885,0.782,0
Kepler-866,646.667,1,4751.0,0.71,0.75,0
Kepler-867,1195.54,1,5541.0,0.91,0.92,0
Kepler-868,1593.13,1,5614.0,0.89,0.93,0
Kepler-869,939.455,1,5664.0,0.95,0.97,0
Kepler-870,1259.46,1,5857.0,1.02,1.01,0
Kepler-871,1976.05,1,5993.0,1.14,1.11,0
Kepler-872,879.683,1,5902.0,1.08,1.05,0
Kepler-873,1182.22,1,6163.0,1.27,1.18,0
Kepler-874,1082.16,1,6020.0,1.13,1.09,0
Kepler-875,1242.62,1,5958.0,1.11,1.06,0
Kepler-876,820.913,1,5060.0,0.77,0.81,0
Kepler-877,602.176,1,5261.0,0.81,0.85,0
Kepler-878,791.625,1,5044.0,0.77,0.81,0
Kepler-879,802.672,1,5792.0,1.02,1.02,0
Kepler-880,601.324,2,6761.0,1.74,1.46,0
Kepler-881,1375.18,1,5961.0,1.09,1.06,0
Kepler-882,504.605,1,5476.0,0.87,0.9,0
Kepler-883,627.455,1,6116.0,1.09,1.06,0
Kepler-884,476.733,1,5715.0,0.94,1.0,0
Kepler-885,651.318,1,6187.0,1.35,1.21,0
Kepler-886,711.297,1,6098.0,1.16,1.1,0
Kepler-887,886.588,2,6194.0,1.29,1.19,0
Kepler-888,420.817,1,5875.0,0.9,0.97,0
Kepler-889,598.313,1,5961.0,1.25,1.14,0
Kepler-890,1712.12,1,5954.0,1.13,1.09,0
Kepler-891,2340.58,1,5887.0,1.07,1.06,0
Kepler-892,570.727,1,4747.0,0.72,0.75,0
Kepler-893,1285.59,1,5820.0,0.99,1.0,0
Kepler-894,1162.91,1,5603.0,0.85,0.87,0
Kepler-895,540.134,1,4315.0,0.61,0.65,0
Kepler-896,2334.93,2,5262.0,0.803,0.84,1
Kepler-897,1519.25,1,5839.0,1.04,1.03,0
Kepler-898,484.891,1,4223.0,0.62,0.65,0
Kepler-899,1246.43,1,5595.0,0.91,0.93,0
Kepler-900,487.525,1,4836.0,0.73,0.78,0
Kepler-901,253.867,1,4184.0,0.57,0.59,0
Kepler-902,1165.34,1,5647.0,0.93,0.95,0
Kepler-903,1369.24,2,5682.0,0.97,0.98,0
Kepler-904,978.125,1,6160.0,1.25,1.16,0
Kepler-905,529.268,1,5461.0,0.86,0.95,0
Kepler-906,757.791,1,6035.0,1.02,1.06,0
Kepler-907,352.0,1,6106.0,1.38,1.08,0
Kepler-908,290.843,1,5973.0,1.12,1.11,0
Kepler-909,309.596,1,6154.0,1.23,1.17,0
Kepler-910,400.289,1,6230.0,1.5,1.26,0
Kepler-911,556.168,1,6112.0,1.99,1.34,0
Kepler-912,2004.72,1,5998.0,1.11,1.07,0
Kepler-913,991.618,2,4687.0,0.61,0.63,0
Kepler-914,753.723,1,5877.0,1.15,1.1,0
Kepler-915,849.036,1,6173.0,1.38,1.21,0
Kepler-916,830.712,1,5248.0,0.81,0.85,0
Kepler-917,3460.51,1,5418.0,0.76,0.8,0
Kepler-918,1025.03,1,6028.0,1.14,1.11,0
Kepler-919,1119.87,1,6113.0,1.21,1.15,0
Kepler-92,477.992,1,5904.34,1.81719,1.07,0
Kepler-920,1001.68,2,5403.0,0.85,0.89,0
Kepler-921,934.49,1,5663.0,0.91,0.93,0
Kepler-922,536.323,1,5671.0,0.93,0.95,0
Kepler-923,1000.28,1,5988.0,1.26,1.11,0
Kepler-924,1053.04,1,6167.0,1.23,1.14,0
Kepler-925,611.115,1,4673.0,0.72,0.77,0
Kepler-926,921.361,1,5806.0,1.01,1.01,0
Kepler-927,831.685,1,5743.0,0.99,0.99,0
Kepler-928,508.809,1,4700.0,0.7,0.73,0
Kepler-929,1311.23,1,5869.0,1.02,1.01,0
Kepler-930,848.396,1,6335.0,1.4,1.25,0
Kepler-931,490.0,1,5241.0,0.81,0.86,0
Kepler-932,465.612,1,5331.0,0.84,0.87,0
Kepler-933,1017.2,1,5346.0,0.84,0.87,0
Kepler-934,608.738,1,5001.0,0.77,0.81,0
Kepler-935,471.782,1,4830.0,0.73,0.78,0
Kepler-936,823.399,1,5482.0,0.89,0.92,0
Kepler-937,1571.46,2,6095.0,1.22,1.15,0
Kepler-938,1182.05,1,5533.0,0.89,0.92,0
Kepler-939,2093.62,1,5471.0,0.85,0.88,0
Kepler-940,1260.78,1,5769.0,0.96,0.97,0
Kepler-941,1088.36,1,5539.0,0.86,0.89,0
Kepler-942,216.354,1,4861.0,0.75,0.81,0
Kepler-943,2300.53,1,5612.0,0.91,0.93,0
Kepler-944,1349.43,1,5409.0,0.83,0.86,0
Kepler-945,1651.25,1,5718.0,0.97,0.97,0
Kepler-946,1137.29,1,5665.0,0.93,0.94,0
Kepler-947,1730.78,1,5508.0,0.87,0.9,0
Kepler-948,868.017,1,5679.0,0.94,0.96,0
Kepler-949,486.105,2,5211.0,0.86,0.817,0
Kepler-950,2161.6,1,5857.0,1.02,1.02,0
Kepler-951,382.509,1,4834.0,0.73,0.77,0
Kepler-952,1304.25,1,5730.0,0.99,1.0,0
Kepler-953,258.893,2,5416.0,0.99,0.95,0
Kepler-954,215.814,1,4990.0,0.76,0.82,0
Kepler-955,550.383,1,5350.0,0.84,0.89,0
Kepler-956,544.939,1,6040.0,1.15,1.1,0
Kepler-957,824.688,1,4963.0,0.75,0.81,0
Kepler-958,449.773,1,5421.0,0.86,0.91,0
Kepler-959,807.729,1,7005.0,2.01,1.6,0
Kepler-960,284.916,1,4755.0,0.72,0.77,0
Kepler-961,574.314,1,5582.0,0.9,0.96,0
Kepler-962,411.486,1,5478.0,0.86,0.93,0
Kepler-963,771.494,1,5461.0,0.87,0.91,0
Kepler-964,454.626,1,5427.0,0.84,0.93,0
Kepler-965,582.828,1,5886.0,1.15,1.05,0
Kepler-966,1027.8,1,5840.0,1.02,1.02,0
Kepler-967,568.546,2,5178.0,0.8,0.84,1
Kepler-968,290.324,3,4413.0,0.667,0.681,0
Kepler-969,390.354,2,5214.0,0.82,0.92,0
Kepler-970,331.545,1,4290.0,0.71,0.67,0
Kepler-971,338.522,1,5431.0,0.85,0.88,0
Kepler-972,1198.03,1,6146.0,1.22,1.15,0
Kepler-973,328.52,1,5213.0,0.78,0.86,0
Kepler-974,134.311,1,3687.0,0.5,0.52,0
Kepler-975,426.088,2,4883.0,0.75,0.8,0
Kepler-976,1012.41,1,5232.0,0.83,0.87,0
Kepler-977,568.751,1,5315.0,0.83,0.87,0
Kepler-978,682.522,1,6002.0,1.09,1.07,0
Kepler-979,576.503,1,5310.0,0.83,0.87,0
Kepler-980,961.468,1,5935.0,1.06,1.05,0
Kepler-981,878.082,1,5718.0,0.96,0.98,0
Kepler-982,801.479,1,6139.0,1.29,1.16,0
Kepler-983,714.437,1,6052.0,1.08,1.13,0
Kepler-984,460.188,1,5610.0,0.93,0.96,0
