pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,pl_insol,pl_orbsmax,pl_dens,st_teff,st_rad,st_mass,sy_dist,sy_pnum,sy_snum
Kepler-619 d,Kepler-619,Transit,2023,11.67894236,4.17,16.2,830.0,112.07,0.1021,1.23,6122.0,0.964,1.041,900.678,3,1
Kepler-1869 c,Kepler-1869,Transit,2023,1.716828304,0.74,0.33,1455.0,1056.84,0.028,4.47,5808.0,0.902,0.987,113.025,2,1
Kepler-1994 b,Kepler-1994,Transit,2023,4.61225043,0.51,0.087,1032.0,268.27,0.053,3.6,5495.0,0.961,0.932,241.991,1,1
K2-308 b,K2-308,Transit,2019,3.38628,9.916,70.6,1213.76,512.9234,,0.398,6100.0,1.24,1.09,1314.53,1,1
EPIC 248847494 b,EPIC 248847494,Transit,2018,3650.0,12.44199,4131.79,183.0,0.19,4.5,NaN,4898.0,2.7,0.9,551.886,1,1
HD 2685 b,HD 2685,Transit,2019,4.12688,16.14096,371.8611,2061.0,1436.49,0.0568,0.486,6801.0,1.56,1.43,196.852,1,1
KELT-23 A b,KELT-23 A,Transit,2019,2.255251,14.829507,298.12454,1561.0,991.183,0.03302,0.503,5899.0,0.996,0.944,126.261,1,2
HD 106315 b,HD 106315,Transit,2017,9.55237,2.44,12.6,1153.0,240.0,0.0907,4.7,6327.0,1.296,1.091,109.353,2,1
GJ 143 b,GJ 143,Transit,2019,35.61253,2.61,22.7,422.0,10.8612,0.1915,7.0,4640.0,0.695,0.73,16.32,2,1
HD 21749 c,GJ 143,Transit,2019,7.78993,0.892,3.7,701.0,144.765,0.0695,31.93,4640.0,0.695,0.73,16.32,2,1
WASP-87 b,WASP-87,Transit,2016,1.682795,15.524465,692.8694,2049.54,4170.0965,0.02946,1.02,6450.0,1.627,1.204,298.392,1,2
TOI-178 c,TOI-178,Transit,2021,3.23845,1.669,4.77,873.0,97.6159,0.037,5.62,4316.0,0.651,0.65,62.699,6,1
Qatar-8 b,Qatar-8,Transit,2019,3.71495,14.403565,117.91493,1457.0,698.148,0.0474,0.216,5738.0,1.315,1.029,281.498,1,1
V1298 Tau c,V1298 Tau,Transit,2019,8.24958,5.59,76.27881768,968.0,146.0,0.0825,3.5,4941.0,1.345,1.101,108.199,4,3
HIP 65 A b,HIP 65 A,Transit,2020,0.9809734,22.75427,1021.18779,1411.0,661.0,0.01782,0.48,4590.0,0.7242,0.781,61.7856,1,2
Kepler-1162 c,Kepler-1162,Transit,2023,59.284064,1.81,3.93,401.0,6.14,0.2832,3.64,5225.0,0.859,0.861,940.211,2,1
Kepler-1649 c,Kepler-1649,Transit,2020,19.53527,1.06,1.2,234.0,0.75,0.0649,5.54,3240.0,0.2317,0.1977,92.1913,2,1
TOI-169 b,TOI-169,Transit,2020,2.2554477,12.172974,251.40353,1715.0,1443.0,0.03524,0.76,5880.0,1.288,1.147,407.84,1,1
TOI-157 b,TOI-157,Transit,2020,2.0845435,14.414774,375.0394,1588.0,1062.0,0.03138,0.686,5404.0,1.167,0.948,355.683,1,1
Kepler-1982 b,Kepler-1982,Transit,2023,3.82315697,0.77,0.381,1282.0,638.38,0.0511,4.59,6202.0,1.122,1.213,558.855,1,1
HATS-37 A b,HATS-37 A,Transit,2020,4.3315366,6.792654,31.46517,1085.0,229.7,0.04913,0.55,5326.0,0.877,0.843,211.896,1,2
K2-315 b,K2-315,Transit,2020,3.1443189,0.95,0.809,460.0,7.45,,5.18,3300.0,0.196,0.174,56.9686,1,1
HATS-38 b,HATS-38,Transit,2020,4.375021,6.882326,23.51942,1294.0,464.7,0.05036,0.403,5732.0,1.105,0.89,343.525,1,1
Kepler-1610 c,Kepler-1610,Transit,2023,44.9851885,2.09,5.02,433.0,8.34,0.2323,3.02,5295.0,0.8,0.825,864.331,2,1
Kepler-880 c,Kepler-880,Transit,2023,11.8061737,2.87,8.6,1407.0,926.72,0.1216,2.0,6900.0,2.599,1.714,601.324,2,1
KOI-1783.02,KOI-1783,Transit,2020,284.215,5.44,15.0,321.0,2.49,0.86695,0.51,5922.0,1.143,1.076,865.73,2,1
